Week,Official topic (accredited),Chapter,Modernized content,Lab notebook,CLOs
1,"Introduction: machine vision, image geometry, sampling and quantization, levels of computation, road map",Ch.1,"CV pipeline, Python/Colab setup",01_image_basics,"1,2"
2,"Image representation: digitization, digital image properties, colour images, cameras",Ch.2,"Colour spaces (BGR/HSV/Lab), histograms",02_color_spaces,"1,2"
3,"Image formation physics: radiometric measurement, optics, lens aberration and distortion, surface reflectance",Ch.3,"Pinhole model, distortion, calibration",03_optics_calibration,"1,3"
4,"Data structures for image analysis: matrices, chains, topological and relational structures, pyramids, quadtrees",Ch.4,"Pyramids, contour hierarchy, quadtrees",04_image_structures,"1,2"
5,"Image preprocessing: pixel brightness transformation, geometric transformation",Ch.5,"Gamma, histogram equalization/CLAHE, affine, perspective",05_geometric_transforms,"1,2"
6,"Image preprocessing: local preprocessing, image restoration",Ch.5,"Convolution, filters, denoising, morphology",06_filtering_morphology,"1,2"
7,"Segmentation: thresholding, edge-based, region-based, matching, texture, evaluation",Ch.6,"Otsu, adaptive, Canny, Hough, watershed",07_segmentation,"1,2,3"
8,"Object recognition: region identification, contour and region shape representation, knowledge representation, graph matching",Ch.9,"Harris, SIFT, ORB, matching, homography",08_keypoint_features,"1,2,4"
9,Object recognition (continued),Ch.9,"Detection: IoU, NMS, R-CNN to Faster R-CNN, mAP",09_object_detection_rcnn,"1,2,4"
10,"Image understanding: control strategies, RANSAC, point distribution models, scene labelling, semantic segmentation",Ch.10,"YOLO, training, open-vocabulary detection",10_object_detection_yolo,"1,2,4"
11,Image understanding (continued),Ch.10,"U-Net, YOLO-seg, Mask R-CNN, SAM, mIoU",11_deep_segmentation,"1,2,4"
12,"3D vision: projective geometry, scene reconstruction from multiple views, stereo, trifocal sensor, 3D from radiometry",Ch.11,"Stereo depth, point clouds, 3D reconstruction",12_3d_point_clouds,"1,3"
13,"Dynamic vision: change detection, segmentation using motion, motion correspondence, image flow, tracking, shape from motion",Ch.16,"Optical flow, background subtraction, ByteTrack",13_motion_tracking,"1,3"
14,Dynamic vision (continued) and course synthesis,Ch.16,"Vision-language models, deployment, project demos",14_vision_language_models,"1,4"
